Name,Count
JSMDUtils,2
FourierTools,2
AxisKeysExtra,2
PlanningDomains,2
HerbInterpret,2
DAEProblemLibrary,2
PkgDependency,2
KLU,2
ModelingToolkitStandardLibrary,2
Gurobi,2
CameraModels,2
ImplicitIntegration,2
ImageQuilting,2
Peaks,2
PosDefManifold,2
TableOperations,2
SpatialIndexing,2
ExponentialFamilyProjection,2
MLJLIBSVMInterface,2
Laplacians,2
MLJScikitLearnInterface,2
AlgebraicDynamics,2
PlantSimEngine,2
MySQL,2
PlotlyKaleido,2
Gridap,2
AdaptivePredicates,2
TestReadme,2
Dynesty,2
XMLDict,2
Maybe,2
JLSO,2
QBase,2
BSplineKit,2
ProbabilisticCircuits,2
CompositeGrids,2
AtmosphericProfilesLibrary,2
CausalTables,2
MiniQhull,2
SyncBarriers,2
AMD,2
SemiseparableMatrices,2
PolyJuMP,2
QUBOTools,2
OrdinaryDiffEqSSPRK,2
LeastSquaresOptim,2
Empirikos,2
ASEconvert,2
ProfileCanvas,2
DocumenterMarkdown,2
GitHub,2
PlutoStaticHTML,2
Chemfiles,2
LinearMapsAA,2
DiffEqProblemLibrary,2
GRIB,2
FinEtoolsFlexStructures,2
Agents,2
MemPool,2
SimpleUnPack,2
ROCAnalysis,2
Infiltrator,2
RobotOS,2
DiagrammaticEquations,2
Spglib,2
AtomsCalculators,2
CalcephEphemeris,2
PosteriorDB,2
ImageUtils,2
LLSModels,2
TestContexts,2
ILUZero,2
FastDifferentiation,2
Bibliography,2
SimradEK60TestData,2
Pavito,2
PaddedViews,2
NodeCall,2
Braket,2
PythonOT,2
DataPipes,2
PlantMeteo,2
GenomicFeatures,2
FMIImport,2
CheckConcreteStructs,2
PProf,2
MRISimulation,2
DDEProblemLibrary,2
BVProblemLibrary,2
Try,2
Quaternionic,2
ExaPF,2
LibSndFile,2
TopOpt,2
QuackIO,2
Waveforms,2
SmallZarrGroups,2
IncompressibleNavierStokes,2
TikzPictures,2
ControlSystems,2
Genie,2
Exodus,2
DecFP,2
PlantRayTracer,2
ArrowTypes,2
PolynomialRoots,2
PhysicalConstants,2
GeneticVariantBase,2
IniFile,2
QuantumStateBase,2
SetProg,2
LDLFactorizations,2
TextEncodeBase,2
LIBSVM,2
Libz,2
ActionModels,2
PowerAnalytics,2
Porcupine,1
FlatBuffers,1
Enzyme_jll,1
GeometricMachineLearning,1
WildcardArrays,1
PowerDynOperationPoint,1
SingleCell10x,1
ManifoldGroupTesting,1
ParallelKMeans,1
ObservationSchemes,1
XKeyboard,1
SimpleSolvers,1
QuantumStateDistributions,1
PlutoVista,1
HyperVoronoiDelaunay,1
Dualization,1
IERSConventions,1
SubSIt,1
PGLib,1
BitBasis,1
CSyntax,1
Git_jll,1
OliveHighlighters,1
MQTTClient,1
PotentialFlow,1
SuiteSparseMatrixCollection,1
GraphIO,1
TidierText,1
YaoExtensions,1
RegNets,1
MolecularTopologies,1
MINPACK,1
Tar_jll,1
sshpass_jll,1
EinExprs,1
MonteCarloMarkovKernels,1
LIBSVMFileIO,1
FMISensitivity,1
Algames,1
ManifoldLearning,1
EoSSuperancillaries,1
HMRowUnification,1
CALCEPH,1
Netpbm,1
PowerGraphics,1
TidyTest,1
Photometry,1
SpatialDatasets,1
DifferentiableFlatten,1
ZfpCompression,1
DirectSum,1
ChowLiuTrees,1
NeuralClosure,1
CoNCMOR,1
ITensorUnicodePlots,1
NiLang,1
UTCDateTimes,1
UnitCommitment,1
spglib_jll,1
OMJulia,1
CodecInflate64,1
FinancialToolbox,1
PGFPlots,1
NaturalNeighbours,1
Inti,1
SauterSchwabQuadrature,1
PromptingTools,1
PropertyFunctions,1
Normalization,1
BasicTreePlots,1
CUSOLVERRF,1
RigidBodyTreeInspector,1
demumble_jll,1
PlutoSliderServer,1
YaoBlocks,1
ImmersedLayers,1
PyGDatasets,1
ManagedLoops,1
DifferentiableFrankWolfe,1
Pio3d,1
SciMLNLSolve,1
NEO_jll,1
OptimKit,1
QOI,1
AzStorage,1
Stheno,1
ITensorGPU,1
JuliaSyntax,1
Lerche,1
BEAST,1
RecordArrays,1
Groebner,1
Associations,1
MGVI,1
AcousticMetrics,1
VectorizedReduction,1
TimeseriesFeatures,1
SumTypes,1
CommonMark,1
Dionysos,1
DiskArrayTools,1
ITensorGaussianMPS,1
Herb,1
BusinessDays,1
Hankel,1
CvxCompress,1
Gzip_jll,1
H3,1
ACE1,1
HarmonicBalance,1
AIBECS,1
OpenQASM,1
UnfoldMakie,1
PointEstimateMethod,1
AbstractOperators,1
FMM2D,1
TraceFuns,1
SiennaPRASInterface,1
MathProgBase,1
Effects,1
RadialBasisFunctionModels,1
KangarooTwelve,1
MatrixNetworks,1
AWSCRT,1
BGEN,1
Ratios,1
PkgAuthentication,1
CryptoSignatures,1
Pandas,1
LocalProjections,1
EarthDataLab,1
Vcov,1
PoissonSolvers,1
JDQMCFramework,1
LazyBandedMatrices,1
ArtifactUtils,1
FeatureTransforms,1
SimpleDiffEq,1
protoc_jll,1
HaltonSequences,1
MatrixFactorizations,1
CatBoost,1
PlutoHooks,1
Kaleido_jll,1
GridCreation,1
SyntacticModels,1
QuantumInfo,1
Bukdu,1
UnfoldStats,1
AbstractNFFTs,1
AstroAngles,1
ManifoldDiff,1
PrimitiveOneHot,1
NeighbourLists,1
XML,1
SkyDomes,1
ModalDecisionTrees,1
OMOPCDMCohortCreator,1
DynamicIterators,1
BenchmarkProfiles,1
libpicosat_jll,1
QuanticsGrids,1
SMC,1
UnROOT,1
ReinforcementLearning,1
